lat,lng
40.2978759,-75.5812935
40.2580614,-75.2646799
40.1211818,-75.3519752
40.116153,-75.343513
40.251492,-75.6033497
40.2534732,-75.283245
40.1821111,-75.1277951
40.2172859,-75.405182
40.2890267,-75.3995896
40.1023985,-75.2914577
40.2319898,-75.2518915
40.0841613,-75.3083857
40.1741312,-75.0984907
40.062974,-75.135914
40.0972222,-75.3761952
40.2237777,-75.2353993
40.2432578,-75.2865516
40.3121807,-75.5742598
40.114239,-75.338508
40.2093369,-75.1352655
40.114239,-75.338508
40.1179476,-75.2098476
40.1990064,-75.3000584
40.1433257,-75.422819
40.1532684,-75.1895576
40.1330371,-75.4084631
40.1552833,-75.2642296
40.0289031,-75.3518224
40.0972222,-75.3761952
40.2093369,-75.1352655
40.0972222,-75.3761952
40.300736,-75.3319733
40.129398,-75.3322134
40.0993621,-75.1500348
40.2212266,-75.2887369
40.0738642,-75.3167972
40.1617316,-75.1510554
40.0667184,-75.307176
40.0655304,-75.3078284
40.1042063,-75.3676652
40.1227798,-75.2672413
40.091055,-75.3843648
40.0249667,-75.2829046
40.1257391,-75.339822
40.2249227,-75.5280446
40.2249227,-75.5280446
40.2249227,-75.5280446
40.2309343,-75.5221245
40.251523,-75.329557
40.1653934,-75.2829046
40.2313745,-75.2797803
40.3209665,-75.6113493
40.0512834,-75.2968515
40.2432612,-75.2960797
40.1568468,-75.1019942
40.1330371,-75.4084631
40.089973,-75.1410849
40.2470021,-75.6525972
40.0818005,-75.2531616
40.0203725,-75.3092584
40.2306331,-75.2785377
40.1173446,-75.2111725
40.2679249,-75.3143823
40.2456734,-75.2796667
40.1199455,-75.3383214
40.105308,-75.341987
40.2890267,-75.3995896
40.245731,-75.3416869
40.1330371,-75.4084631
40.1546593,-75.2215435
40.0249667,-75.2829046
39.9867698,-75.2754335
40.2537881,-75.2164375
40.2450058,-75.5930476
40.295271,-75.3284004
40.2048367,-75.2228211
40.2442013,-75.582403
40.2315111,-75.6545599
40.1142023,-75.3268041
40.0039548,-75.2207009
40.2906932,-75.5766612
40.0074347,-75.2489886
40.2304548,-75.6339815
40.0348666,-75.3276061
40.0167386,-75.2651596
40.4142488,-75.5090155
40.0809133,-75.2026651
40.2372576,-75.2204062
40.2500156,-75.5921595
40.2469315,-75.6439204
40.230284,-75.3540007
40.085487,-75.0977084
40.2344178,-75.3513217
40.0830785,-75.1011171
40.2763043,-75.5650236
40.0953195,-75.1934818
40.1514759,-75.3966243
40.127611,-75.3799147
40.284455,-75.574528
40.1201276,-75.3501929
40.1508958,-75.1274376
40.1825726,-75.5406694
40.060048,-75.097217
40.2449124,-75.6443631
40.1388986,-75.1514572
40.1330371,-75.4084631
39.9997391,-75.2557489
40.0177675,-75.2300543
40.2449124,-75.6443631
40.0809133,-75.2026651
40.0878981,-75.2629699
40.0975908,-75.2525369
40.2451166,-75.6460071
40.1550603,-75.1022513
40.0837614,-75.1422046
40.1191612,-75.3423774
40.088204,-75.326639
40.1663037,-75.4202852
40.27503,-75.4298706
40.1507107,-75.0552739
40.0121546,-75.2995188
40.1125844,-75.3297589
40.1185944,-75.1626529
40.082481,-75.324636
40.0025642,-75.2236498
40.125582,-75.3205245
40.1074003,-75.113206
40.183013,-75.535937
40.2349983,-75.2166077
40.04571,-75.298728
40.1148759,-75.3403903
40.0802937,-75.3060477
40.0794421,-75.3068746
40.2641787,-75.656005
40.1142023,-75.3268041
40.0117673,-75.2946732
40.2905586,-75.2851444
40.1466487,-75.2192771
40.1355778,-75.2738513
40.4024419,-75.4994835
40.1653934,-75.2829046
40.1489915,-75.260516
40.4014255,-75.4939718
40.3881677,-75.5059427
40.1498641,-75.3646526
40.161709,-75.1959681
40.2552707,-75.3407218
40.3256048,-75.3249254
40.148858,-75.2328423
